fp_data,fp_graph,fp_regime,split
data/datasets/sergio/test/n100/er_e2_add/1001/data_intv.npy,data/datasets/sergio/test/n100/er_e2_add/1001/DAG.npy,data/datasets/sergio/test/n100/er_e2_add/1001/intv.npy,test
data/datasets/sergio/test/n100/er_e2_add/1002/data_intv.npy,data/datasets/sergio/test/n100/er_e2_add/1002/DAG.npy,data/datasets/sergio/test/n100/er_e2_add/1002/intv.npy,test
data/datasets/sergio/test/n100/er_e2_add/1003/data_intv.npy,data/datasets/sergio/test/n100/er_e2_add/1003/DAG.npy,data/datasets/sergio/test/n100/er_e2_add/1003/intv.npy,test
data/datasets/sergio/test/n100/er_e2_add/1004/data_intv.npy,data/datasets/sergio/test/n100/er_e2_add/1004/DAG.npy,data/datasets/sergio/test/n100/er_e2_add/1004/intv.npy,test
data/datasets/sergio/test/n100/er_e2_add/1005/data_intv.npy,data/datasets/sergio/test/n100/er_e2_add/1005/DAG.npy,data/datasets/sergio/test/n100/er_e2_add/1005/intv.npy,test
data/datasets/sergio/test/n100/er_e4_add/1001/data_intv.npy,data/datasets/sergio/test/n100/er_e4_add/1001/DAG.npy,data/datasets/sergio/test/n100/er_e4_add/1001/intv.npy,test
data/datasets/sergio/test/n100/er_e4_add/1002/data_intv.npy,data/datasets/sergio/test/n100/er_e4_add/1002/DAG.npy,data/datasets/sergio/test/n100/er_e4_add/1002/intv.npy,test
data/datasets/sergio/test/n100/er_e4_add/1003/data_intv.npy,data/datasets/sergio/test/n100/er_e4_add/1003/DAG.npy,data/datasets/sergio/test/n100/er_e4_add/1003/intv.npy,test
data/datasets/sergio/test/n100/er_e4_add/1004/data_intv.npy,data/datasets/sergio/test/n100/er_e4_add/1004/DAG.npy,data/datasets/sergio/test/n100/er_e4_add/1004/intv.npy,test
data/datasets/sergio/test/n100/er_e4_add/1005/data_intv.npy,data/datasets/sergio/test/n100/er_e4_add/1005/DAG.npy,data/datasets/sergio/test/n100/er_e4_add/1005/intv.npy,test
data/datasets/sergio/test/n200/er_e2_add/1001/data_intv.npy,data/datasets/sergio/test/n200/er_e2_add/1001/DAG.npy,data/datasets/sergio/test/n200/er_e2_add/1001/intv.npy,test
data/datasets/sergio/test/n200/er_e2_add/1002/data_intv.npy,data/datasets/sergio/test/n200/er_e2_add/1002/DAG.npy,data/datasets/sergio/test/n200/er_e2_add/1002/intv.npy,test
data/datasets/sergio/test/n200/er_e2_add/1003/data_intv.npy,data/datasets/sergio/test/n200/er_e2_add/1003/DAG.npy,data/datasets/sergio/test/n200/er_e2_add/1003/intv.npy,test
data/datasets/sergio/test/n200/er_e2_add/1004/data_intv.npy,data/datasets/sergio/test/n200/er_e2_add/1004/DAG.npy,data/datasets/sergio/test/n200/er_e2_add/1004/intv.npy,test
data/datasets/sergio/test/n200/er_e2_add/1005/data_intv.npy,data/datasets/sergio/test/n200/er_e2_add/1005/DAG.npy,data/datasets/sergio/test/n200/er_e2_add/1005/intv.npy,test
data/datasets/sergio/test/n200/er_e4_add/1001/data_intv.npy,data/datasets/sergio/test/n200/er_e4_add/1001/DAG.npy,data/datasets/sergio/test/n200/er_e4_add/1001/intv.npy,test
data/datasets/sergio/test/n200/er_e4_add/1002/data_intv.npy,data/datasets/sergio/test/n200/er_e4_add/1002/DAG.npy,data/datasets/sergio/test/n200/er_e4_add/1002/intv.npy,test
data/datasets/sergio/test/n200/er_e4_add/1003/data_intv.npy,data/datasets/sergio/test/n200/er_e4_add/1003/DAG.npy,data/datasets/sergio/test/n200/er_e4_add/1003/intv.npy,test
data/datasets/sergio/test/n200/er_e4_add/1004/data_intv.npy,data/datasets/sergio/test/n200/er_e4_add/1004/DAG.npy,data/datasets/sergio/test/n200/er_e4_add/1004/intv.npy,test
data/datasets/sergio/test/n200/er_e4_add/1005/data_intv.npy,data/datasets/sergio/test/n200/er_e4_add/1005/DAG.npy,data/datasets/sergio/test/n200/er_e4_add/1005/intv.npy,test
